image,grade
01\DER\IM000000.JPG,5065002
01\DER\IM000001.JPG,5065002
01\DER\IM000002.JPG,5065002
01\DER\IM000003.JPG,5065002
02\DER\IM000004.JPG,5065002
02\DER\IM000005.JPG,5065002
02\DER\IM000006.JPG,5065002
02\DER\IM000007.JPG,5065002
02\DER\IM000008.JPG,5065002
02\DER\IM000009.JPG,5065002
03\DER\IM000000.JPG,5065002
03\DER\IM000001.JPG,5065002
03\DER\IM000002.JPG,5065002
03\DER\IM000003.JPG,5065002
03\DER\IM000004.JPG,5065002
03\DER\IM000005.JPG,5065002
03\DER\IM000006.JPG,5065002
04\DER\IM000001.JPG,5065002
04\DER\IM000002.JPG,5065002
04\DER\IM000003.JPG,5065002
04\DER\IM000004.JPG,5065002
04\DER\IM000005.JPG,5065002
05\DER\IM000000.JPG,5065002
05\DER\IM000001.JPG,5065002
05\DER\IM000002.JPG,5065002
05\DER\IM000003.JPG,5065002
05\DER\IM000004.JPG,5065002
05\DER\IM000005.JPG,5065002
05\DER\IM000006.JPG,5065002
06\Der\IM000000.JPG,5065002
06\Der\IM000001.JPG,5065002
06\Der\IM000002.JPG,5065002
06\Der\IM000003.JPG,5065002
06\Der\IM000004.JPG,5065002
06\Der\IM000005.JPG,5065002
07\DER\IM000000.JPG,5065002
07\DER\IM000001.JPG,5065002
07\DER\IM000002.JPG,5065002
07\DER\IM000003.JPG,5065002
07\DER\IM000004.JPG,5065002
07\DER\IM000005.JPG,5065002
08\IZQ\IM000001.JPG,5065002
08\IZQ\IM000002.JPG,5065002
08\IZQ\IM000003.JPG,5065002
08\IZQ\IM000004.JPG,5065002
08\IZQ\IM000005.JPG,5065002
08\IZQ\IM000006.JPG,5065002
09\IZQ\IM000005.JPG,5065002
09\IZQ\IM000006.JPG,5065002
09\IZQ\IM000007.JPG,5065002
09\IZQ\IM000008.JPG,5065002
09\IZQ\IM000009.JPG,5065002
09\IZQ\IM000010.JPG,5065002
10\DER\IM000001.JPG,5065002
10\DER\IM000002.JPG,5065002
10\DER\IM000003.JPG,5065002
10\DER\IM000004.JPG,5065002
10\DER\IM000005.JPG,5065002
10\DER\IM000006.JPG,5065002
10\DER\IM000007.JPG,5065002
100\DER\IM000001.JPG,5065002
100\DER\IM000002.JPG,5065002
100\DER\IM000004.JPG,5065002
100\DER\IM000005.JPG,5065002
100\DER\IM000006.JPG,5065002
100\DER\IM000007.JPG,5065002
101\DER\IM000000.JPG,5065002
101\DER\IM000001.JPG,5065002
101\DER\IM000002.JPG,5065002
101\DER\IM000003.JPG,5065002
101\DER\IM000004.JPG,5065002
101\DER\IM000005.JPG,5065002
101\DER\IM000006.JPG,5065002
102\DER\IM000001.JPG,5065002
102\DER\IM000002.JPG,5065002
102\DER\IM000003.JPG,5065002
102\DER\IM000004.JPG,5065002
102\DER\IM000005.JPG,5065002
102\DER\IM000006.JPG,5065002
103\DER\IM000002.JPG,5065002
103\DER\IM000003.JPG,5065002
